,ProductId,Title,Description,Vendor,ProductType,Price,ImageURL,ProductURL
41,7531076190270,EnergyShroom PB08,6500mAh 5.0V (Type 1A) Battery Type Lithium-Polymer Input 5V/3A,simba,powerbank,1999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/1_1_300x_30f66381-cb6f-4f0e-ad87-7de1816c5251.png?v=1715238207,https://boatai.myshopify.com/products/energyshroom-pb08
42,7531076026430,EnergyShroom PB100,EnergyShroom PB100 Smart IC Protection Universal Compatibility\n12W Rapid Charge,simba,powerbank,1490.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/main2_300x_fcb661cb-0192-4c6d-a7fa-c55e8b774f28.png?v=1715238200,https://boatai.myshopify.com/products/energyshroom-pb100
43,7531075698750,EnergyShroom PB105,6500mAh 5.0V (Type 1A) Dimensions 142 X 66.1 X 15mm Battery Type Li-ion-Polymer,simba,powerbank,1490.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/m1_300x_ac58c55e-721b-4fc2-be96-86c99e1dc598.png?v=1715238191,https://boatai.myshopify.com/products/energyshroom-pb105
44,7531075960894,EnergyShroom PB150,EnergyShroom PB150 \nSmart IC Protection Universal Compatibility\n20W Rapid Charge,simba,powerbank,1990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/PB150Blue_300x_f9608a8e-f094-4adf-a7d8-e4318d0dfe48.png?v=1715238198,https://boatai.myshopify.com/products/energyshroom-pb150
45,7531076157502,EnergyShroom PB18,nQC 3.0 support 2-Way Fast Charging\nSmart IC Protection,simba,powerbank,2499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/1_2_300x_4e0c5b76-12a1-475c-8100-8f2ce536cfa4.png?v=1715238204,https://boatai.myshopify.com/products/energyshroom-pb18
46,7531076091966,EnergyShroom PB20,2-Way Fast Charging Smart IC Protection\nQC 3.0 support,simba,powerbank,1999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/main2_300x_bbd3ca67-c93e-4783-8762-0fc114547ba4.png?v=1715238202,https://boatai.myshopify.com/products/energyshroom-pb20
47,7531075862590,EnergyShroom PB200,Universal Compatibility Smart IC Protection\n12W Rapid Charge,simba,powerbank,2490.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/PB200_300x_d2344d36-f449-4be9-a99f-d370097d6f0d.png?v=1715238196,https://boatai.myshopify.com/products/energyshroom-pb200
48,7531075764286,EnergyShroom PB250,EnergyShroom PB250 Smart IC Protection Universal Compatibility\n20W Rapid Charge,simba,powerbank,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/PB250_blue_300x_23ef09b9-9ce5-4483-94e5-2a2ed1764131.png?v=1715238193,https://boatai.myshopify.com/products/energyshroom-pb250
49,7531075567678,EnergyShroom PB255,"13500mAh 5.0V (Type 1A) Battery Type Li-ion-Polymer Input DC 5V/2A, 9V/2A",simba,powerbank,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/m3_300x_3efe4e2c-1f6f-4fa7-9536-e7a29303b2c9.png?v=1715238189,https://boatai.myshopify.com/products/energyshroom-pb255
50,7531074846782,EnergyShroom PB300,Quick Charge 3.0 Technology and 18 W of power offer you lightning-fast speeds of charge,simba,powerbank,2999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/PB300.jpg?v=1715238175,https://boatai.myshopify.com/products/energyshroom-pb300
